2026-06-16 10:24:27 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:28 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:28 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:29 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:29 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:30 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:30 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:31 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:31 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:32 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:32 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:34 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:34 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:35 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:35 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:36 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:36 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:38 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:38 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:39 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:39 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:40 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:40 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:41 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:41 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:42 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:42 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:43 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:43 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:44 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:44 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:44 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:44 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:45 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:45 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:46 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:46 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:47 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:47 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:48 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:48 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:49 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:49 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:50 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:50 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:50 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:50 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:51 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:51 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:53 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:45:54 | ATTACK DETECTED | Prorocol=DNS | Length=80
2026-06-16 10:45:54 | ATTACK DETECTED | Prorocol=DNS | Length=80
2026-06-16 10:45:54 | ATTACK DETECTED | Prorocol=DNS | Length=136
2026-06-16 10:45:54 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:54 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:56 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:56 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:57 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:57 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:58 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:58 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:45:59 | ATTACK DETECTED | Prorocol=ARP | Length=42
